lr-AdamW,step,loss,epoch,Bleu_1,Bleu_2,Bleu_3,Bleu_4,ROUGE_L,CIDEr
0.0001,49,,,,,,,,
,49,1.8768868446350098,0,,,,,,
0.0001,99,,,,,,,,
,99,1.6273161172866821,0,,,,,,
0.0001,149,,,,,,,,
,149,1.8277678489685059,0,,,,,,
0.0001,199,,,,,,,,
,199,1.3147791624069214,0,,,,,,
0.0001,249,,,,,,,,
,249,1.7111164331436157,0,,,,,,
0.0001,299,,,,,,,,
,299,1.8885661363601685,0,,,,,,
0.0001,349,,,,,,,,
,349,1.1322194337844849,0,,,,,,
0.0001,399,,,,,,,,
,399,2.0211331844329834,0,,,,,,
0.0001,449,,,,,,,,
,449,1.6126458644866943,0,,,,,,
0.0001,499,,,,,,,,
,499,1.610823154449463,0,,,,,,
0.0001,549,,,,,,,,
,549,1.7500542402267456,0,,,,,,
0.0001,599,,,,,,,,
,599,1.2359261512756348,0,,,,,,
0.0001,649,,,,,,,,
,649,1.8315520286560059,0,,,,,,
0.0001,699,,,,,,,,
,699,1.6133517026901245,0,,,,,,
0.0001,749,,,,,,,,
,749,1.286619782447815,0,,,,,,
0.0001,799,,,,,,,,
,799,1.6891177892684937,0,,,,,,
0.0001,849,,,,,,,,
,849,1.6421397924423218,0,,,,,,
0.0001,899,,,,,,,,
,899,1.6637558937072754,0,,,,,,
0.0001,949,,,,,,,,
,949,1.6613600254058838,0,,,,,,
0.0001,999,,,,,,,,
,999,1.445701003074646,0,,,,,,
0.0001,1049,,,,,,,,
,1049,1.2755929231643677,0,,,,,,
0.0001,1099,,,,,,,,
,1099,1.484251618385315,0,,,,,,
0.0001,1149,,,,,,,,
,1149,1.5719550848007202,0,,,,,,
0.0001,1199,,,,,,,,
,1199,1.541574478149414,0,,,,,,
0.0001,1249,,,,,,,,
,1249,1.6433207988739014,0,,,,,,
0.0001,1299,,,,,,,,
,1299,1.7922852039337158,0,,,,,,
0.0001,1349,,,,,,,,
,1349,1.2999933958053589,0,,,,,,
