lr-Adam,step,loss,epoch
0.0001,49,,
,49,2.142578125,0
0.0001,99,,
,99,1.9052734375,0
0.0001,149,,
,149,1.6640625,0
0.0001,199,,
,199,1.7001953125,0
0.0001,249,,
,249,1.5439453125,0
0.0001,299,,
,299,1.4736328125,0
0.0001,349,,
,349,1.48046875,0
0.0001,399,,
,399,1.5908203125,0
0.0001,449,,
,449,1.8876953125,0
0.0001,499,,
,499,1.5322265625,0
0.0001,549,,
,549,1.2314453125,0
0.0001,599,,
,599,1.7373046875,0
0.0001,649,,
,649,1.48046875,0
0.0001,699,,
,699,1.2783203125,0
0.0001,749,,
,749,1.60546875,0
0.0001,799,,
,799,1.615234375,0
0.0001,849,,
,849,1.29296875,0
0.0001,899,,
,899,1.5068359375,0
0.0001,949,,
,949,1.3212890625,0
0.0001,999,,
,999,1.4921875,0
0.0001,1049,,
,1049,1.0908203125,0
0.0001,1099,,
,1099,1.716796875,0
0.0001,1149,,
,1149,1.390625,0
0.0001,1199,,
,1199,1.3720703125,0
0.0001,1249,,
,1249,1.2978515625,0
0.0001,1299,,
,1299,1.9150390625,0
0.0001,1349,,
,1349,1.7041015625,0
0.0001,1399,,
,1399,1.5556640625,0
0.0001,1449,,
,1449,1.5732421875,0
0.0001,1499,,
,1499,1.49609375,0
0.0001,1549,,
,1549,1.3935546875,0
0.0001,1599,,
,1599,1.5458984375,0
0.0001,1649,,
,1649,1.73046875,0
0.0001,1699,,
,1699,1.5322265625,0
0.0001,1749,,
,1749,1.5615234375,0
0.0001,1799,,
,1799,1.3671875,0
0.0001,1849,,
,1849,1.552734375,0
0.0001,1899,,
,1899,1.3935546875,0
0.0001,1949,,
,1949,1.2177734375,0
0.0001,1999,,
,1999,1.361328125,0
0.0001,2049,,
,2049,1.236328125,0
0.0001,2099,,
,2099,1.3779296875,0
0.0001,2149,,
,2149,1.564453125,0
0.0001,2199,,
,2199,1.57421875,0
0.0001,2249,,
,2249,1.4404296875,0
0.0001,2299,,
,2299,1.1240234375,0
0.0001,2349,,
,2349,1.6083984375,0
0.0001,2399,,
,2399,1.123046875,0
0.0001,2449,,
,2449,0.96484375,0
0.0001,2499,,
,2499,1.466796875,0
0.0001,2549,,
,2549,1.28125,0
0.0001,2599,,
,2599,1.5849609375,0
0.0001,2649,,
,2649,1.26953125,0
0.0001,2699,,
,2699,1.234375,0
0.0001,2749,,
,2749,1.5263671875,0
0.0001,2799,,
,2799,1.7724609375,0
0.0001,2849,,
,2849,1.572265625,0
0.0001,2899,,
,2899,0.9580078125,0
0.0001,2949,,
,2949,1.4169921875,0
0.0001,2999,,
,2999,1.5048828125,0
0.0001,3049,,
,3049,1.13671875,0
0.0001,3099,,
,3099,1.4189453125,0
0.0001,3149,,
,3149,1.4384765625,0
0.0001,3199,,
,3199,1.05859375,0
0.0001,3249,,
,3249,1.2568359375,0
0.0001,3299,,
,3299,1.3251953125,0
0.0001,3349,,
,3349,1.435546875,0
0.0001,3399,,
,3399,1.2978515625,0
0.0001,3449,,
,3449,1.322265625,0
0.0001,3499,,
,3499,0.931640625,0
0.0001,3549,,
,3549,1.541015625,0
0.0001,3599,,
,3599,1.1806640625,0
0.0001,3649,,
,3649,1.556640625,0
0.0001,3699,,
,3699,1.3486328125,0
0.0001,3749,,
,3749,1.189453125,0
0.0001,3799,,
,3799,1.365234375,0
0.0001,3849,,
,3849,1.474609375,0
0.0001,3899,,
,3899,1.2421875,0
0.0001,3949,,
,3949,1.197265625,0
0.0001,3999,,
,3999,1.33203125,0
0.0001,4049,,
,4049,1.5400390625,0
0.0001,4099,,
,4099,1.361328125,0
0.0001,4149,,
,4149,1.470703125,0
0.0001,4199,,
,4199,1.216796875,0
0.0001,4249,,
,4249,1.4931640625,0
0.0001,4299,,
,4299,1.3125,0
0.0001,4349,,
,4349,1.4033203125,0
0.0001,4399,,
,4399,1.3642578125,0
0.0001,4449,,
,4449,1.10546875,0
0.0001,4499,,
,4499,1.0927734375,0
0.0001,4549,,
,4549,1.18359375,0
0.0001,4599,,
,4599,1.5244140625,0
0.0001,4649,,
,4649,1.3984375,0
0.0001,4699,,
,4699,0.90380859375,0
0.0001,4749,,
,4749,1.1875,0
0.0001,4799,,
,4799,1.6640625,0
0.0001,4849,,
,4849,1.443359375,0
0.0001,4899,,
,4899,1.4013671875,0
0.0001,4949,,
,4949,1.0517578125,0
0.0001,4999,,
,4999,1.0,0
0.0001,5049,,
,5049,1.345703125,0
0.0001,5099,,
,5099,1.2265625,0
0.0001,5149,,
,5149,1.3447265625,0
0.0001,5199,,
,5199,1.220703125,0
0.0001,5249,,
,5249,1.4287109375,0
0.0001,5299,,
,5299,1.453125,0
0.0001,5349,,
,5349,1.3388671875,0
0.0001,5399,,
,5399,1.1884765625,0
0.0001,5449,,
,5449,0.97412109375,0
0.0001,5499,,
,5499,1.12890625,0
0.0001,5549,,
,5549,1.0849609375,0
0.0001,5599,,
,5599,1.3916015625,0
0.0001,5649,,
,5649,1.4306640625,0
0.0001,5699,,
,5699,1.482421875,0
0.0001,5749,,
,5749,1.1513671875,0
0.0001,5799,,
,5799,1.1396484375,0
0.0001,5849,,
,5849,1.1455078125,0
0.0001,5899,,
,5899,1.1005859375,0
0.0001,5949,,
,5949,1.3046875,0
0.0001,5999,,
,5999,1.3701171875,0
0.0001,6049,,
,6049,1.46484375,0
0.0001,6099,,
,6099,1.611328125,0
0.0001,6149,,
,6149,1.439453125,0
0.0001,6199,,
,6199,1.0576171875,0
0.0001,6249,,
,6249,1.314453125,0
0.0001,6299,,
,6299,1.4931640625,0
0.0001,6349,,
,6349,1.1611328125,0
0.0001,6399,,
,6399,1.0546875,0
0.0001,6449,,
,6449,0.92724609375,0
0.0001,6499,,
,6499,1.5205078125,0
0.0001,6549,,
,6549,1.369140625,0
0.0001,6599,,
,6599,0.95068359375,0
0.0001,6649,,
,6649,1.5126953125,0
0.0001,6699,,
,6699,1.099609375,0
0.0001,6749,,
,6749,1.1005859375,0
0.0001,6799,,
,6799,1.3232421875,0
0.0001,6849,,
,6849,1.580078125,0
0.0001,6899,,
,6899,1.2109375,0
0.0001,6949,,
,6949,1.3876953125,0
0.0001,6999,,
,6999,1.25390625,0
0.0001,7049,,
,7049,1.154296875,0
0.0001,7099,,
,7099,1.5068359375,0
0.0001,7149,,
,7149,1.2919921875,0
0.0001,7199,,
,7199,1.3740234375,0
0.0001,7249,,
,7249,1.095703125,0
0.0001,7299,,
,7299,1.326171875,0
0.0001,7349,,
,7349,1.28515625,0
0.0001,7399,,
,7399,1.703125,0
0.0001,7449,,
,7449,1.365234375,0
0.0001,7499,,
,7499,1.2294921875,0
0.0001,7549,,
,7549,0.99755859375,0
0.0001,7599,,
,7599,1.5673828125,0
0.0001,7649,,
,7649,1.01171875,0
0.0001,7699,,
,7699,1.337890625,0
0.0001,7749,,
,7749,1.068359375,0
0.0001,7799,,
,7799,1.7001953125,0
0.0001,7849,,
,7849,1.349609375,0
0.0001,7899,,
,7899,1.3173828125,0
0.0001,7949,,
,7949,1.1171875,0
0.0001,7999,,
,7999,1.4599609375,0
0.0001,8049,,
,8049,1.37109375,0
0.0001,8099,,
,8099,1.4248046875,0
0.0001,8149,,
,8149,1.29296875,0
0.0001,8199,,
,8199,1.705078125,0
0.0001,8249,,
,8249,1.265625,0
0.0001,8299,,
,8299,1.794921875,0
0.0001,8349,,
,8349,1.3837890625,0
0.0001,8399,,
,8399,1.3681640625,0
0.0001,8449,,
,8449,1.6064453125,0
0.0001,8499,,
,8499,1.509765625,0
0.0001,8549,,
,8549,1.3173828125,0
0.0001,8599,,
,8599,1.1337890625,0
0.0001,8649,,
,8649,1.5185546875,0
0.0001,8699,,
,8699,1.25390625,0
0.0001,8749,,
,8749,1.3779296875,0
0.0001,8799,,
,8799,1.103515625,0
0.0001,8849,,
,8849,1.0791015625,0
0.0001,8899,,
,8899,1.0927734375,0
0.0001,8949,,
,8949,1.5732421875,0
0.0001,8999,,
,8999,1.5078125,0
0.0001,9049,,
,9049,1.5341796875,0
0.0001,9099,,
,9099,1.240234375,0
0.0001,9149,,
,9149,1.1806640625,0
0.0001,9199,,
,9199,1.634765625,0
0.0001,9249,,
,9249,1.0791015625,0
0.0001,9299,,
,9299,1.4501953125,0
0.0001,9349,,
,9349,1.1513671875,0
0.0001,9399,,
,9399,1.068359375,0
0.0001,9449,,
,9449,1.3994140625,0
0.0001,9499,,
,9499,1.36328125,0
0.0001,9549,,
,9549,1.10546875,0
0.0001,9599,,
,9599,1.3916015625,0
0.0001,9649,,
,9649,1.0322265625,0
0.0001,9699,,
,9699,1.4755859375,0
0.0001,9749,,
,9749,1.296875,0
0.0001,9799,,
,9799,1.294921875,0
0.0001,9849,,
,9849,1.4296875,0
0.0001,9899,,
,9899,1.5087890625,0
0.0001,9949,,
,9949,1.4501953125,0
0.0001,9999,,
,9999,1.04296875,0
0.0001,10049,,
,10049,1.13671875,0
0.0001,10099,,
,10099,1.15234375,0
0.0001,10149,,
,10149,1.25390625,0
0.0001,10199,,
,10199,1.3037109375,0
0.0001,10249,,
,10249,1.640625,0
0.0001,10299,,
,10299,1.4345703125,0
0.0001,10349,,
,10349,1.1533203125,0
0.0001,10399,,
,10399,1.1708984375,0
0.0001,10449,,
,10449,0.97119140625,0
0.0001,10499,,
,10499,1.201171875,0
0.0001,10549,,
,10549,1.5029296875,0
0.0001,10599,,
,10599,1.4697265625,0
0.0001,10649,,
,10649,1.1337890625,0
0.0001,10699,,
,10699,1.337890625,0
0.0001,10749,,
,10749,1.12890625,0
0.0001,10799,,
,10799,1.375,0
0.0001,10849,,
,10849,1.3193359375,0
0.0001,10899,,
,10899,1.041015625,0
0.0001,10949,,
,10949,1.263671875,0
0.0001,10999,,
,10999,1.544921875,0
0.0001,11049,,
,11049,1.0966796875,0
0.0001,11099,,
,11099,1.439453125,0
0.0001,11149,,
,11149,0.912109375,0
0.0001,11199,,
,11199,1.16015625,0
0.0001,11249,,
,11249,1.4033203125,0
0.0001,11299,,
,11299,1.384765625,0
0.0001,11349,,
,11349,1.2470703125,0
0.0001,11399,,
,11399,1.44140625,0
0.0001,11449,,
,11449,1.1787109375,0
0.0001,11499,,
,11499,1.2138671875,0
0.0001,11549,,
,11549,1.201171875,0
0.0001,11599,,
,11599,1.125,0
0.0001,11649,,
,11649,0.99462890625,0
0.0001,11699,,
,11699,1.28515625,0
0.0001,11749,,
,11749,1.521484375,0
0.0001,11799,,
,11799,1.326171875,0
0.0001,11849,,
,11849,1.0595703125,0
0.0001,11899,,
,11899,1.4150390625,0
0.0001,11949,,
,11949,1.1298828125,0
0.0001,11999,,
,11999,1.0341796875,0
0.0001,12049,,
,12049,1.2822265625,0
0.0001,12099,,
,12099,1.1630859375,0
0.0001,12149,,
,12149,1.23828125,0
0.0001,12199,,
,12199,1.2314453125,0
0.0001,12249,,
,12249,1.3134765625,0
0.0001,12299,,
,12299,1.6220703125,0
0.0001,12349,,
,12349,1.4931640625,0
0.0001,12399,,
,12399,1.3349609375,0
0.0001,12449,,
,12449,1.4345703125,0
0.0001,12499,,
,12499,1.2314453125,0
0.0001,12549,,
,12549,1.357421875,0
0.0001,12599,,
,12599,1.388671875,0
0.0001,12649,,
,12649,1.1123046875,0
0.0001,12699,,
,12699,1.2255859375,0
0.0001,12749,,
,12749,1.474609375,0
