lr-AdamW,step,loss,epoch,Bleu_1,Bleu_2,Bleu_3,Bleu_4,ROUGE_L,CIDEr
0.0001,49,,,,,,,,
,49,2.0862560272216797,0,,,,,,
0.0001,99,,,,,,,,
,99,1.838432788848877,0,,,,,,
0.0001,149,,,,,,,,
,149,1.8779996633529663,0,,,,,,
0.0001,199,,,,,,,,
,199,1.5116928815841675,0,,,,,,
0.0001,249,,,,,,,,
,249,1.8756731748580933,0,,,,,,
0.0001,299,,,,,,,,
,299,1.9464350938796997,0,,,,,,
0.0001,349,,,,,,,,
,349,1.232640027999878,0,,,,,,
0.0001,399,,,,,,,,
,399,2.0077197551727295,0,,,,,,
0.0001,449,,,,,,,,
,449,1.7044954299926758,0,,,,,,
0.0001,499,,,,,,,,
,499,1.609115719795227,0,,,,,,
0.0001,549,,,,,,,,
,549,1.7880584001541138,0,,,,,,
0.0001,599,,,,,,,,
,599,1.2039817571640015,0,,,,,,
0.0001,649,,,,,,,,
,649,1.9744913578033447,0,,,,,,
0.0001,699,,,,,,,,
,699,1.6777887344360352,0,,,,,,
0.0001,749,,,,,,,,
,749,1.3458034992218018,0,,,,,,
0.0001,799,,,,,,,,
,799,1.7881124019622803,0,,,,,,
0.0001,849,,,,,,,,
,849,1.6787521839141846,0,,,,,,
0.0001,899,,,,,,,,
,899,1.7504202127456665,0,,,,,,
0.0001,949,,,,,,,,
,949,1.6613850593566895,0,,,,,,
0.0001,999,,,,,,,,
,999,1.5019258260726929,0,,,,,,
0.0001,1049,,,,,,,,
,1049,1.3081605434417725,0,,,,,,
0.0001,1099,,,,,,,,
,1099,1.5201174020767212,0,,,,,,
0.0001,1149,,,,,,,,
,1149,1.6481602191925049,0,,,,,,
0.0001,1199,,,,,,,,
,1199,1.5296885967254639,0,,,,,,
0.0001,1249,,,,,,,,
,1249,1.6538499593734741,0,,,,,,
0.0001,1299,,,,,,,,
,1299,1.870964527130127,0,,,,,,
0.0001,1349,,,,,,,,
,1349,1.3134344816207886,0,,,,,,
0.0001,1399,,,,,,,,
,1399,1.9194084405899048,0,,,,,,
0.0001,1449,,,,,,,,
,1449,0.8861631155014038,0,,,,,,
0.0001,1499,,,,,,,,
,1499,1.533445954322815,0,,,,,,
0.0001,1549,,,,,,,,
,1549,1.6134257316589355,0,,,,,,
0.0001,1599,,,,,,,,
,1599,1.390133261680603,0,,,,,,
0.0001,1649,,,,,,,,
,1649,1.7658345699310303,0,,,,,,
0.0001,1699,,,,,,,,
,1699,0.9580739736557007,0,,,,,,
0.0001,1749,,,,,,,,
,1749,1.1582579612731934,0,,,,,,
0.0001,1799,,,,,,,,
,1799,1.4375730752944946,0,,,,,,
0.0001,1849,,,,,,,,
,1849,1.471050500869751,0,,,,,,
0.0001,1899,,,,,,,,
,1899,1.42709219455719,0,,,,,,
0.0001,1949,,,,,,,,
,1949,1.0225266218185425,0,,,,,,
0.0001,1999,,,,,,,,
,1999,1.280568242073059,0,,,,,,
0.0001,2049,,,,,,,,
,2049,1.296051025390625,0,,,,,,
0.0001,2099,,,,,,,,
,2099,1.070669412612915,0,,,,,,
0.0001,2149,,,,,,,,
,2149,1.8495705127716064,0,,,,,,
0.0001,2199,,,,,,,,
,2199,1.418158769607544,0,,,,,,
0.0001,2249,,,,,,,,
,2249,1.1742194890975952,0,,,,,,
0.0001,2299,,,,,,,,
,2299,1.5120689868927002,0,,,,,,
0.0001,2349,,,,,,,,
,2349,1.111140489578247,0,,,,,,
0.0001,2399,,,,,,,,
,2399,1.1729122400283813,0,,,,,,
0.0001,2449,,,,,,,,
,2449,1.1463606357574463,0,,,,,,
0.0001,2499,,,,,,,,
,2499,1.4286431074142456,0,,,,,,
0.0001,2549,,,,,,,,
,2549,1.4163336753845215,0,,,,,,
0.0001,2599,,,,,,,,
,2599,1.4576436281204224,0,,,,,,
0.0001,2649,,,,,,,,
,2649,1.5826548337936401,0,,,,,,
0.0001,2699,,,,,,,,
,2699,1.1537379026412964,0,,,,,,
0.0001,2749,,,,,,,,
,2749,1.3548173904418945,0,,,,,,
0.0001,2799,,,,,,,,
,2799,1.6037588119506836,0,,,,,,
0.0001,2849,,,,,,,,
,2849,1.6214553117752075,0,,,,,,
0.0001,2899,,,,,,,,
,2899,1.255876064300537,0,,,,,,
0.0001,2949,,,,,,,,
,2949,1.3496394157409668,0,,,,,,
0.0001,2999,,,,,,,,
,2999,1.5817086696624756,0,,,,,,
0.0001,3049,,,,,,,,
,3049,1.9869132041931152,0,,,,,,
0.0001,3099,,,,,,,,
,3099,1.494667410850525,0,,,,,,
0.0001,3149,,,,,,,,
,3149,1.7629153728485107,0,,,,,,
0.0001,3199,,,,,,,,
,3199,0.8790608644485474,0,,,,,,
0.0001,3249,,,,,,,,
,3249,1.367335319519043,0,,,,,,
0.0001,3299,,,,,,,,
,3299,1.3519264459609985,0,,,,,,
0.0001,3349,,,,,,,,
,3349,1.6718900203704834,0,,,,,,
0.0001,3399,,,,,,,,
,3399,1.3989269733428955,0,,,,,,
0.0001,3449,,,,,,,,
,3449,1.0099167823791504,0,,,,,,
0.0001,3499,,,,,,,,
,3499,1.0544434785842896,0,,,,,,
0.0001,3549,,,,,,,,
,3549,1.9213145971298218,0,,,,,,
0.0001,3599,,,,,,,,
,3599,1.4327815771102905,0,,,,,,
0.0001,3649,,,,,,,,
,3649,1.1291366815567017,0,,,,,,
0.0001,3699,,,,,,,,
,3699,1.6227622032165527,0,,,,,,
0.0001,3749,,,,,,,,
,3749,1.3283880949020386,0,,,,,,
0.0001,3799,,,,,,,,
,3799,1.2762529850006104,0,,,,,,
0.0001,3849,,,,,,,,
,3849,1.9606821537017822,0,,,,,,
0.0001,3899,,,,,,,,
,3899,1.6999328136444092,0,,,,,,
0.0001,3949,,,,,,,,
,3949,1.0593899488449097,0,,,,,,
0.0001,3999,,,,,,,,
,3999,1.5989208221435547,0,,,,,,
0.0001,4049,,,,,,,,
,4049,1.9777164459228516,0,,,,,,
0.0001,4099,,,,,,,,
,4099,1.598217487335205,0,,,,,,
0.0001,4149,,,,,,,,
,4149,1.6411337852478027,0,,,,,,
0.0001,4199,,,,,,,,
,4199,1.3186864852905273,0,,,,,,
0.0001,4249,,,,,,,,
,4249,1.730918526649475,0,,,,,,
0.0001,4299,,,,,,,,
,4299,1.1923514604568481,0,,,,,,
0.0001,4349,,,,,,,,
,4349,1.440119743347168,0,,,,,,
0.0001,4399,,,,,,,,
,4399,1.080472707748413,0,,,,,,
0.0001,4449,,,,,,,,
,4449,0.7740688323974609,0,,,,,,
0.0001,4499,,,,,,,,
,4499,1.582298755645752,0,,,,,,
0.0001,4549,,,,,,,,
,4549,1.0683283805847168,0,,,,,,
0.0001,4599,,,,,,,,
,4599,1.3156474828720093,0,,,,,,
0.0001,4649,,,,,,,,
